ID,ENTITY_NAME,ACCOUNTING_STANDARD,CONSOLIDATION_TYPE,CURRENCY,FX_RATE,REVENUES,REV__GROWTH____,OPERATING_EBITDA,OPERATING_EBITDA_MARGIN____,OPERATING_EBITDAR,NET_INCOME___CORPORATES,CASH___MARKETABLE_SECURITIES,ST_DEBT,TOTAL_DEBT_WITH_EQUITY_CREDIT,TOTAL_ADJUSTED_DEBT,FUNDS_FLOW_FROM_OPERATIONS,CASH_FLOW_FROM_OPERATIONS,CAPITAL_EXPENDITURE,DIVIDENDS_PAID,FREE_CASH_FLOW,NET__ACQUISITIONS__DIVESTITURES,TOTAL_DEBT__EXCL__NON_RECOURSE_DEBT_,NET_EQUITY_PROCEEDS__BUYBACK_,FFO_INTEREST_COVERAGE__X_,FFO_FIXED_CHARGE_COVERAGE,_OPERATING_EBITDAR_CAPEX____GROSS_INT_EXP,OPERATING_EBITDA___GROSS_INTEREST_EXP_,TOTAL_ADJ__DEBT___OPERATING_EBITDAR__X_,TOTAL_DEBT_WITH_EQUITY_CREDIT___OPERATING_EBITDA,RATING
1,AB Volvo ,IFRS,Noncon,USD,SEK - USD 7.7366,35674.46,0.03,2157.28,0.06,2363.05,140.89,2310.83,1550.16,5331.67,6065.2,2013.03,1852.36,1111.86,786.39,-45.89,0,6244.35,0,9.12,5.4,-13.48,8.88,2.95,2.47,BBB
2,ACCO Brands Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,1557.1,0.03,244.1,0.15,268.3,95.5,42.9,68.5,703.5,897.1,181.8,165.9,18.5,0,147.4,88.1,703.5,6.8,4.5,3.36,-5.79,4.84,3.36,2.9,BB
3,Acquedotto Pugliese S.p.A.,Local GAAP,Con,USD,EUR - USD 0.9185,535.11,0.07,124.55,0.23,124.55,16.22,278.61,243.66,438.76,438.76,157.54,133.59,43.33,0,90.26,-0.11,438.76,0,12.59,12.59,-6.88,9.53,3.52,3.52,BBB
4,"Advanced Semiconductor Engineering, Inc.",Local GAAP,Con,USD,TWD - USD 33.0060,8583.36,0.1,1648.28,0.19,1690.42,606.36,1673.97,1627.79,3712.35,4091.59,1555.85,1662.7,932.29,463.48,266.94,810.85,3712.35,-122.65,25.71,15.77,-34.54,26.44,2.41,2.24,BBB
5,Aegea Saneamento e Participacoes S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,304.56,0.24,141.88,0.46,141.88,31.65,95.14,70.47,562.55,562.55,75.68,50.57,141.4,11.29,-102.12,14.1,562.55,38.47,1.95,1.95,-4.92,2.2,3.96,3.96,BB
6,Aerovias del Continente Americano S.A. (Avianca),Local GAAP,Con,USD,COP - USD 3149.4700,2485.96,0.26,233.82,0.09,449.76,-120.59,256.21,286.85,2438.63,3950.26,144.33,574.09,186.3,0,387.79,0,2438.63,0,2.1,1.4,-5.7,2.1,8.8,10.4,B
7,Ahold Delhaize NV,Local GAAP,Con,USD,EUR - USD 0.9176,41633.61,0.16,2686.36,0.06,3601.79,925.24,1571.49,359.63,4401.7,11725.15,2101.13,2110.94,876.2,431.56,796.64,163.47,4401.7,-175.46,9.48,2.8,-16.59,10.95,3.23,1.62,BBB
8,Alicorp S.A.A.,Local GAAP,Con,USD,PEN - USD 3.3560,1975.21,0,239.07,0.12,239.07,90.13,81.49,72.48,476.41,476.41,177.91,240.92,36.94,13.77,190.22,-2,476.41,0,5.36,5.36,-5.68,5.99,1.98,1.98,BBB
9,"Allison Transmission Holdings, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,1840.2,-0.07,640.7,0.34,645.8,214.9,172.7,11.9,2187.6,2228.4,577.2,590.8,70.6,100.6,419.6,-0.2,2187.6,-232.5,8.36,7.91,-7.05,8.18,3.45,3.41,BB
10,"AMC Entertainment Holdings, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,3235.85,0.09,566.12,0.17,1071.58,111.67,207.07,81.24,4509.81,8553.51,485.29,431.65,421.71,79.63,-69.69,915.94,4509.81,0,5.61,1.79,-12.29,5.37,7.98,7.97,B
